problem_id,num_points,num_clusters,transitions,cluster_deviance
05b013ef-724d-407f-9591-18a4103b8040,25,7,7,0.0
0fed7bdc-a343-4966-b202-69661c45fdb2,15,5,8,0.3
1527135d-c248-4f89-89ed-6a90fd52a3c9,25,5,7,0.1
154207c9-e80a-40d6-9644-9d60a8d430c2,15,5,7,0.2
164185da-3473-46e4-87ca-f4830fe222fd,20,5,6,0.06666666666666667
183e1414-fcdb-4d3b-840c-b649bdd620ff,10,3,3,0.0
1898a77c-bccd-49eb-bfb4-06bbac8550bc,25,7,8,0.05555555555555555
19ee29b6-b6f8-4e8d-9a7f-1e721e51d336,25,8,8,0.0
238a8f7d-e7b1-46bf-bfc2-b750613b470f,10,5,6,0.2
2549fb3d-39ec-4ed0-86af-bb0f2f473e68,15,4,4,0.0
33484525-a992-44ad-90a6-af937fe1c337,30,9,9,0.0
34839dd1-7558-4cbf-a9a7-4a5af5610fab,25,4,8,0.19047619047619047
36b03dde-243e-4028-b4a7-447b39e59ff6,10,6,6,0.0
383daefc-a307-4624-b00a-8abf8b02ffbe,15,6,6,0.0
3c61df79-3f08-446e-a753-cd497be9ba96,25,10,12,0.13333333333333333
453b1819-3246-4ffd-b01d-203e2225113a,25,4,5,0.047619047619047616
45de72b4-fb51-4d40-a516-2bf6d4c6b1d9,20,5,6,0.06666666666666667
53a74dac-9a9e-4859-91d0-28160eb5e36c,25,6,7,0.05263157894736842
53b26982-d905-4128-8b13-964e0a3defeb,15,4,4,0.0
57323239-abc1-4048-88ef-016ebf22312f,30,9,11,0.09523809523809523
5962d267-4866-4b2b-b6d6-9e1326bb36ca,15,6,6,0.0
59b1b6b9-b85f-4fde-9150-d47a236df9a2,10,4,6,0.3333333333333333
5d302750-f5a2-4ee6-85c5-c11e674abf39,30,6,6,0.0
6292163d-4352-46c0-b64e-f2310419873b,20,3,3,0.0
6427c4a4-177d-4e0d-83af-77ec2c7d5ec9,20,4,6,0.125
64fe8b42-0e8f-43e7-8476-3b56e2cf2b92,25,7,10,0.16666666666666666
682f5f95-f620-44bd-9b61-b0aaf30d06a6,20,4,5,0.0625
6c97831c-ca71-4551-afdf-82058ab05c1c,15,5,6,0.1
6e8c910b-843f-482c-81ee-8e217e0396db,10,4,5,0.16666666666666666
714d2b6f-04d1-458f-9730-e9c6021c16f2,25,5,5,0.0
7343b0a2-83dd-4bbe-8e6d-8467c94863f4,30,6,10,0.16666666666666666
73b1d51b-a75c-4a93-9ea3-0c2a5423fc9a,10,4,4,0.0
759f6114-d435-4e65-b2a6-fd9a0cf508bf,20,7,9,0.15384615384615385
765d785f-da94-497a-9c32-ccae2b86d667,15,7,8,0.125
76bf93fa-7960-45d7-81fa-71949fa4df72,15,5,6,0.1
7cb9e4fa-5385-40fc-bc08-a1bc58f339f1,15,4,4,0.0
7ccfe7f2-40f4-4c53-bbde-4b7f3df43ad5,15,4,5,0.09090909090909091
7e50e83d-e9ea-45bd-858e-15fc4e073fae,10,6,6,0.0
7f2faf0a-3b6c-473f-b757-031c26da8fb6,20,6,7,0.07142857142857142
80591d3c-75e8-467a-a4c8-a500dfa726fa,10,3,3,0.0
81f137aa-33f3-4039-afb0-94c378c7f246,10,4,4,0.0
8b3ef66f-dce6-4ac1-b5c9-401d17608f2a,10,4,5,0.16666666666666666
8c2ca5f3-57e0-4de6-a53f-773bf590b1b7,30,5,10,0.2
8fcc91ff-6f67-46b5-a2e8-553587994988,30,5,7,0.08
94c84226-5ade-4600-84df-129fb52c3c58,15,8,8,0.0
966d7482-fc02-4c62-8371-e110982f54fe,25,3,7,0.18181818181818182
99a4b329-7d8f-40c4-8acd-6f0cb3bfb0fd,30,6,9,0.125
9b71c829-fc76-4111-8f93-19a9b4c9c99e,25,3,3,0.0
a1f09c93-f484-44dc-b489-ebbdd95a85fe,20,8,9,0.08333333333333333
a52e04a2-854b-4bac-913b-57193c4a0b9f,20,5,7,0.13333333333333333
a69dd256-8bdb-4f6e-b8e5-0901ad301f41,20,4,4,0.0
ae2e1a70-43a2-4d30-9134-5f19361b5e18,10,5,5,0.0
afa7ca48-bf45-4cbb-a9c4-78908f2814fb,10,4,4,0.0
b3f3232f-dc0b-478c-8c4c-f32be0b615af,25,8,8,0.0
cc65c76a-7bdc-4f18-a826-be4cf0779152,10,6,6,0.0
cffbb490-6d25-4fa2-a170-b64a0d7d5e41,10,3,3,0.0
d2c357c3-caab-4ee9-96f5-af473c516e65,20,8,8,0.0
d76e3b17-76c3-468d-b775-9b228eb1301a,15,3,3,0.0
d7a8425e-9b15-4d25-9c18-b47a0b06af79,10,3,3,0.0
d8238425-52f2-4467-85dc-c045c1ab95d4,30,5,10,0.2
d8b0ab6e-5a7c-4b2d-9c47-e493b84d0178,25,4,8,0.19047619047619047
e1b822d5-0b3c-4ed6-bcc6-98ffa34f5262,10,3,4,0.14285714285714285
e3921989-bb6b-4af9-a93c-dfea0cac640a,20,8,8,0.0
e9079980-5664-4e1f-9c34-a8f217ec4994,20,8,8,0.0
ebc069c7-ea01-4796-b58f-0bb114bf8db7,25,7,7,0.0
eef4ebf2-be9c-4dbc-bb07-6f1f65bfc621,20,5,6,0.06666666666666667
f290c7f4-479a-4e0a-8f68-b29c022eebaf,15,7,8,0.125
f872534c-e80e-4e92-9fa5-40845139e45c,15,4,5,0.09090909090909091
f9222368-ac90-4343-9293-76729210f9dc,15,5,5,0.0
fe55619c-585e-41d6-91e6-4d88113c7c98,20,4,8,0.25
fe62ad1c-e257-4275-bf34-3e9d84b83876,25,3,6,0.13636363636363635
